cl	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13
1	1.546	1.336	1.126	0.916	0.706	0.496	0.286	0.076	0	0	0	0	0
2	1.424	1.214	1.004	0.794	0.584	0.374	0.164	0	0	0	0	0	0
3	1.476	1.266	1.056	0.846	0.636	0.426	0.216	0.006	0	0	0	0	0
4	1.631	1.421	1.211	1.001	0.791	0.581	0.371	0.161	0	0	0	0	0
5	1.453	1.243	1.033	0.823	0.613	0.403	0.193	0	0	0	0	0	0
6	1.449	1.239	1.029	0.819	0.609	0.399	0.189	0	0	0	0	0	0
7	1.451	1.241	1.031	0.821	0.611	0.401	0.191	0	0	0	0	0	0
8	1.496	1.286	1.076	0.866	0.656	0.446	0.236	0.026	0	0	0	0	0
9	1.445	1.235	1.025	0.815	0.605	0.395	0.185	0	0	0	0	0	0
10	1.483	1.273	1.063	0.853	0.643	0.433	0.223	0.013	0	0	0	0	0
11	1.458	1.248	1.038	0.828	0.618	0.408	0.198	0	0	0	0	0	0
12	1.444	1.234	1.024	0.814	0.604	0.394	0.184	0	0	0	0	0	0
13	1.607	1.397	1.187	0.977	0.767	0.557	0.347	0.137	0	0	0	0	0
14	1.492	1.282	1.072	0.862	0.652	0.442	0.232	0.022	0	0	0	0	0
15	1.592	1.382	1.172	0.962	0.752	0.542	0.332	0.122	0	0	0	0	0
16	1.447	1.237	1.027	0.817	0.607	0.397	0.187	0	0	0	0	0	0
17	1.413	1.203	0.993	0.783	0.573	0.363	0.153	0	0	0	0	0	0
18	1.463	1.253	1.043	0.833	0.623	0.413	0.203	0	0	0	0	0	0
19	1.584	1.374	1.164	0.954	0.744	0.534	0.324	0.114	0	0	0	0	0
20	1.431	1.221	1.011	0.801	0.591	0.381	0.171	0	0	0	0	0	0
21	1.56	1.35	1.14	0.93	0.72	0.51	0.3	0.09	0	0	0	0	0
22	1.338	1.128	0.918	0.708	0.498	0.288	0.078	0	0	0	0	0	0
23	1.558	1.348	1.138	0.928	0.718	0.508	0.298	0.088	0	0	0	0	0
24	1.338	1.128	0.918	0.708	0.498	0.288	0.078	0	0	0	0	0	0
25	1.474	1.264	1.054	0.844	0.634	0.424	0.214	0.004	0	0	0	0	0
26	1.551	1.341	1.131	0.921	0.711	0.501	0.291	0.081	0	0	0	0	0
27	1.412	1.202	0.992	0.782	0.572	0.362	0.152	0	0	0	0	0	0
28	1.435	1.225	1.015	0.805	0.595	0.385	0.175	0	0	0	0	0	0
29	0.987	0.777	0.567	0.357	0.147	0	0	0	0	0	0	0	0
30	1.285	1.075	0.865	0.655	0.445	0.235	0.025	0	0	0	0	0	0
31	1.379	1.169	0.959	0.749	0.539	0.329	0.119	0	0	0	0	0	0
32	1.28	1.07	0.86	0.65	0.44	0.23	0.02	0	0	0	0	0	0
33	1.303	1.093	0.883	0.673	0.463	0.253	0.043	0	0	0	0	0	0
34	1.498	1.288	1.078	0.868	0.658	0.448	0.238	0.028	0	0	0	0	0
35	1.353	1.143	0.933	0.723	0.513	0.303	0.093	0	0	0	0	0	0
36	1.48	1.27	1.06	0.85	0.64	0.43	0.22	0.01	0	0	0	0	0
37	1.192	0.982	0.772	0.562	0.352	0.142	0	0	0	0	0	0	0
38	1.087	0.877	0.667	0.457	0.247	0.037	0	0	0	0	0	0	0
39	1.502	1.292	1.082	0.872	0.662	0.452	0.242	0.032	0	0	0	0	0
40	1.424	1.214	1.004	0.794	0.584	0.374	0.164	0	0	0	0	0	0
41	1.561	1.351	1.141	0.931	0.721	0.511	0.301	0.091	0	0	0	0	0
42	1.384	1.174	0.964	0.754	0.544	0.334	0.124	0	0	0	0	0	0
43	1.305	1.095	0.885	0.675	0.465	0.255	0.045	0	0	0	0	0	0
44	1.383	1.173	0.963	0.753	0.543	0.333	0.123	0	0	0	0	0	0
